,peak mean,peak sd,peaktime mean,peaktime sd,CV
0,18.412790253721585,1.5540946583296038,2.8984500000000004,0.08094354071771015,0.1
1,18.457659433095902,1.5420783035452141,2.9009500000000004,0.07977731255181482,0.10481131341546858
2,18.3871140542521,1.6251981181913973,2.8975,0.08261888039053135,0.10985411419875583
3,18.401407772038777,1.5599471903281836,2.8984500000000004,0.0798434240361036,0.11513953993264472
4,18.26353192154411,1.9331496983535854,2.88905,0.10062417014858038,0.12067926406393285
5,18.280737994371332,1.8898211156149436,2.8901,0.09709338611945051,0.12648552168552962
6,18.379041637858744,1.847736790639551,2.8952999999999998,0.09520625586472191,0.13257113655901093
7,18.377631302963845,2.0580838896509914,2.89435,0.10574729287196312,0.13894954943731375
8,18.49140202493074,2.1997672990600323,2.8996500000000003,0.11206323367504858,0.14563484775012436
9,18.204320089194326,2.151309621229602,2.8846,0.11143125514466565,0.15264179671752334
10,18.29360660735023,2.123846272018249,2.8899,0.10865088621533138,0.15998587196060582
11,18.21930809913944,2.5159301606599236,2.883,0.12966520476455187,0.16768329368110083
12,18.349138853107675,2.6785709594951133,2.8887,0.1353733345178897,0.1757510624854792
13,18.37176266739875,2.8358328022230674,2.8884000000000003,0.1455933622651747,0.1842069969326716
14,18.342190610832155,2.8371891925820063,2.8872000000000004,0.14391217310512408,0.193069772888325
15,18.222084311878636,2.634411609684354,2.8819000000000004,0.1366777010702523,0.20235896477251566
16,17.86541264627998,3.046041302332667,2.8598500000000002,0.15730288774355772,0.21209508879201905
17,18.420724285204386,3.4291587398881287,2.8857,0.177201897740442,0.22229964825261944
18,18.180840334671824,3.0692596084503063,2.8757500000000005,0.16501998508479795,0.2329951810515372
19,18.011656089109678,3.3929943699525453,2.8645,0.17416779871880092,0.2442053094548651
20,18.15909910799012,3.8554844001514983,2.8681000000000005,0.1953025998998431,0.2559547922699536
21,18.194241249362236,3.810092921187527,2.8694000000000006,0.20023011886954611,0.2682695795279726
22,17.971063934661075,4.0288254620725334,2.8546500000000004,0.21029024570147312,0.281176869797423
23,17.86116820623206,3.76718279522753,2.8515999999999995,0.19881922801161783,0.29470517025518106
24,17.691282497530615,4.011340114184518,2.84,0.20951247549235505,0.3088843596477481
25,18.32685533834765,5.038862666277259,2.86395,0.2466150694144856,0.3237457542817644
26,17.592112006986618,4.4367174197311785,2.8290499999999996,0.2315722913706501,0.3393221771895328
27,17.172592863955476,4.651919130670315,2.8004000000000002,0.2556238599758339,0.35564803062231287
28,17.49315667722377,4.8897441536732105,2.8169000000000004,0.25687411616935824,0.372759372031494
29,17.44057335521205,4.505798156079903,2.8177499999999998,0.2461286943264728,0.3906939937054617
30,17.598398673338217,5.49702612070216,2.8147999999999995,0.28282842784626505,0.4094915062380424
31,17.179509992913175,4.661682003949996,2.80065,0.25765092176710175,0.42919342601287774
32,17.344309704172314,5.07691506931209,2.80345,0.27741193994150753,0.44984326689694454
33,17.13209037359608,5.8502969466564,2.7822500000000003,0.3008437673640739,0.47148663634573934
34,17.749964555203665,5.480805225830531,2.82315,0.2828241947316887,0.49417133613238345
35,17.540812117955333,5.7408838971039495,2.80375,0.3119052128596847,0.517947467923121
36,17.960220255338903,6.501505611070885,2.82005,0.3227371902490465,0.5428675439323859
37,17.931912229298565,7.17587243829692,2.8072500000000002,0.3500925039279371,0.5689866029018296
38,16.041687808366667,5.776032402531293,2.7132000000000005,0.32053936955885143,0.5963623316594643
39,17.893403088749537,6.735325149524728,2.8132500000000005,0.3304769470973945,0.6250551925273972
40,17.326781141192612,7.2642329760351245,2.7668,0.37186986430725943,0.6551285568595507
41,16.603315642330752,6.653870707466535,2.7321500000000003,0.3586180587481639,0.6866488450043
42,16.132754087615282,6.023790370882088,2.7112,0.34531401483898844,0.7196856730011519
43,16.68859005791486,6.559400742516802,2.7383000000000006,0.3599736310834127,0.7543120063354617
44,16.528731010365274,6.934755435372983,2.7198,0.37849604526521413,0.7906043210907697
45,16.46114576303712,7.94735314486784,2.6980500000000003,0.420407432793164,0.8286427728546842
46,16.664610154924162,7.335029886313475,2.7259,0.37760311247759043,0.8685113737513525
47,16.730713366958216,7.350786909827809,2.72115,0.4087954821559991,0.9102981779915218
48,16.006949734906314,7.451714774256756,2.6767000000000003,0.40521116772895255,0.9540954763499939
49,16.00748165467278,9.90151887038448,2.64135,0.45890373794894895,1.0
